Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - Ohio,4,2011-03-02,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2012-04-16,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Oregon,4,2018-11-28,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2011-03-02,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-28,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2008-02-27,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2008-03-05,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Utah,-999,2014-05-23,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2012-04-11,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2013-03-09,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2016-09-29,36.0723,-112.166,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2016-08-12,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-02-25,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - California,6,2017-08-11,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2009-03-27,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2011-03-28,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2009-03-26,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2013-02-09,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2014-09-18,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Indiana,4,2015-11-03,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2006-03-25,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-22,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2015-02-18,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Maine,4,2012-03-22,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Maryland,4,2018-01-06,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Massachusetts,4,2009-03-25,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Michigan,5,2006-03-28,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Missouri,3,2012-01-23,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Nevada,3,2010-03-14,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - New Hampshire,3,2009-03-22,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - New Jersey,4,2007-03-20,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - New Mexico,3,2015-01-16,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - New York,4,2014-04-24,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2015-12-26,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Ohio,4,2011-03-02,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2012-04-15,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Oregon,4,2018-06-12,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2011-03-03,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-28,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2012-02-21,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2008-03-03,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
